Bootstrap #,Number of round-trip trades,Total Return,Annualized Return,Buy & Hold Return,Winning Trades,Maximum Drawdown,Strategy Sharpe Ratio,Buy & Hold Sharpe Ratio
1,7,324.96,62.92,1210.42,57.14,-52.18,1.19,1.21
2,12,1610.26,68.69,7521.33,58.33,-52.18,1.27,1.21
3,19,1806.93,41.18,10529.95,47.37,-52.18,0.91,0.93
4,10,680.8,54.59,2690.9,50,-52.18,1.09,1.1
5,12,2051.54,62.13,6911.19,58.33,-52.18,1.19,1.05
6,10,296.62,36.3,160.22,40,-50.62,0.81,0.55
7,3,316.11,130.56,307.72,66.67,-30.59,1.61,1.26
8,14,1649.38,53.14,4110.26,50,-52.18,1.1,0.93
9,12,1687.96,61.35,10290.63,58.33,-52.18,1.16,1.16
10,7,217.14,41.28,847.05,42.86,-52.18,0.89,1.02
11,14,348.55,28.48,269.34,35.71,-64,0.7,0.55
12,7,507.73,62.89,1604.16,42.86,-52.18,1.16,1.13
13,11,594.76,45.09,1269.32,45.45,-51.98,0.94,0.86
14,12,2011.43,62.36,4973.55,58.33,-52.18,1.2,1
15,13,780.82,50.49,5082.4,46.15,-52.18,1.03,1.15
16,17,2810.51,51.28,13033.42,52.94,-52.18,1.06,1
17,9,1525.85,80.59,6514.41,55.56,-52.18,1.37,1.26
18,9,563.7,58.25,1127.29,44.44,-51.74,1.07,0.97
19,15,3061.97,56.87,11335.85,53.33,-52.18,1.14,1.01
20,11,504.9,40.11,426.44,45.45,-41.81,0.88,0.67
21,4,127.87,75.03,1.94,50,-27.47,1.23,0.35
22,13,3026.46,75.72,18259.27,53.85,-52.18,1.32,1.26
23,15,2209.32,54.38,7071.65,53.33,-52.18,1.11,0.97
24,6,723.02,86.63,484.64,66.67,-31.1,1.37,0.9
25,6,661.26,87.36,678.48,66.67,-30.59,1.37,1.03
26,8,350.04,66.49,1145.05,62.5,-52.18,1.23,1.2
27,9,464.12,53.35,326.54,44.44,-36.58,1.03,0.72
28,6,406.86,70.36,270.96,50,-41.11,1.19,0.8
29,13,601.42,53.03,3086.49,46.15,-52.18,1.07,1.16
30,13,370.87,30.17,362.28,46.15,-51.74,0.74,0.6
31,4,126.79,56.85,169.97,25,-51.74,1.03,0.88
32,17,1460.76,50.94,10228.35,41.18,-52.18,1.03,1.09
33,17,1692.6,45.16,6981.85,47.06,-52.18,0.97,0.93
34,12,223.86,25.15,140.47,33.33,-66.98,0.64,0.5
35,9,620.46,56.56,800.27,55.56,-51.74,1.09,0.86
36,9,451.7,47.18,574.56,55.56,-51.74,0.98,0.79
37,14,1341.88,44.82,4024.73,50,-52.18,0.98,0.89
38,5,82.93,32.56,63.24,40,-36.06,0.72,0.57
39,7,477.99,66.84,424.83,42.86,-40.92,1.16,0.86
40,14,1903.59,55.95,7146.71,57.14,-52.18,1.11,1.02
41,7,350.91,52.78,1078.59,42.86,-52.18,1.05,1.05
42,10,1333.92,64.12,5739.77,60,-52.18,1.2,1.13
43,11,465.62,39.87,222.51,45.45,-40.92,0.88,0.56
44,16,1796.13,47.59,5644.43,50,-52.18,1.01,0.91
45,9,865.09,72.29,5049.84,44.44,-52.18,1.22,1.31
46,11,2239.61,77.22,10005.57,54.55,-52.18,1.33,1.23
47,14,2064.84,58.2,25835.95,50,-52.18,1.11,1.24
48,15,1373.25,46.44,4201.32,53.33,-52.18,1,0.91
49,10,387.66,41.86,598.92,50,-51.74,0.9,0.79
50,16,2443.1,58.03,17527.11,62.5,-52.18,1.13,1.14
,,,,,,,,
,,,,,,,,
,Average Round Trips,Average Total Return %,Average Annual Return %,Average B&H Return %,Average Winning Trades %,Averager MDD %,Average Sharpe,Average B&H Sharpe
,11,1079.92,56.83,4567.24,50.20,-49.33,1.08,0.95
,,,,,,,,
,SD Round Trips,SD Total Return %,SD Annual Return %,SD B&H Return %,SD Winning %,SD MDD %,SD Sharpe %,SD B&H Sharpe
,4,829.52,17.65,5482.85,8.48,7.66,0.19,0.23
