Bootstrap #,Number of round-trip trades,Total Return,Annualized Return,Buy & Hold Return,Winning Trades,Maximum Drawdown,Strategy Sharpe Ratio,Buy & Hold Sharpe Ratio
1,24,2730.36,42.84,-60.1,33.33,-65.8,0.39,0.42
2,28,1574.89,35.07,318.2,25,-97.14,0.35,0.4
3,21,642547.32,154.78,-54.74,28.57,-64.18,0.38,0.42
4,27,458.94,20.15,29.31,40.74,-79.92,0.28,0.58
5,23,-81.01,-16.24,-48.28,39.13,-99.25,0.37,0.37
6,18,21247.03,77.2,-56.7,38.89,-87.09,0.31,0.32
7,24,-95.01,-27.36,-56.66,20.83,-96.79,-0.1,0.32
8,23,143.5,9.96,2119.01,30.43,-99.79,0.27,0.45
9,18,-78.53,-15.13,-37.49,27.78,-98.64,0.3,0.51
10,24,246.48,14.17,9611.82,37.5,-98.63,0.29,0.45
11,28,-99.97,-58.33,440.16,39.29,-99.98,0.12,0.32
12,22,755.53,25.73,245.34,45.45,-90.48,0.31,0.56
13,28,-99.05,-39.16,-9.59,28.57,-99.98,0.25,0.37
14,19,1544.39,34.8,8815.84,42.11,-98.53,0.33,0.37
15,28,390.88,18.5,-33.03,28.57,-75.71,0.26,0.47
16,19,320061.16,136.53,-99.39,31.58,-40.81,0.28,0.34
17,22,1337876.71,175.51,-99.06,40.91,-99.16,0.34,0.34
18,21,102,7.79,-71.87,23.81,-98.67,0.3,0.55
19,23,8875.49,61.55,9.55,39.13,-89.08,0.34,0.48
20,21,-64.71,-10.51,-93.94,47.62,-98.95,0.33,0.4
21,22,-99.86,-50.56,-33.62,27.27,-99.98,-0.01,0.44
22,22,347.1,17.32,-98.61,27.27,-97.2,0.28,0.35
23,22,-91.26,-22.89,-68.44,45.45,-99.99,0.41,0.56
24,17,760.3,25.8,6115.78,41.18,-98.47,0.58,0.33
25,16,5134.85,52.53,10181.96,37.5,-96.52,0.3,0.53
26,20,-99.86,-50.4,-96.87,40,-99.96,0.35,0.42
27,22,3156.52,45,1836.66,63.64,-84.65,0.57,0.76
28,22,-28.58,-3.53,418.22,40.91,-98.55,0.3,0.46
29,23,2552.59,41.86,-39.49,34.78,-91.93,0.28,0.39
30,17,-100,-66.91,-98.84,35.29,-100,-0.01,0.36
31,20,16118.28,72.08,507.85,45,-95.06,0.33,0.36
32,20,107.11,8.08,939.84,55,-99.26,0.34,0.43
33,21,-99.93,-53.96,-98.93,23.81,-99.97,-0.19,0.43
34,18,57993.94,97.17,-62.52,38.89,-97.1,0.39,0.51
35,19,420.18,19.23,635.89,52.63,-99.56,0.4,0.5
36,26,-90.31,-22.04,-97.66,23.08,-98.78,0.25,0.46
37,23,1827.74,37.11,1540.06,39.13,-91.83,0.34,0.56
